time,PLAT,PALL,NATGAS,HEATOIL,GASOIL,SPX_fastb,SPX_slowb,BTC_fastb,BTC_slowb,GOLD_fastb,GOLD_slowb,XSMOM,DIPBUY,TOM
1987-07-30,,,,,,0.007619242564348681,0.008531022224742004,,,,,0.0015348805858417984,0.0,0.0018798371257082599
1987-07-31,,,,,,0.0025250570390461533,0.0024493323093488905,,,,,0.00038682926626102787,0.0,0.0004737671599573654
1987-08-03,,,,,,-0.004600060950951416,-0.004604874083102585,,,,,-0.0006931795300388649,0.0,-0.0008489680743687316
1987-08-04,,,,,,-0.00570676209288025,-0.00569467708706168,,,,,-0.0008620678999709817,0.0,-0.0010558132392807771
1987-08-05,,,,,,0.009539697473469848,0.009473645636167202,,,,,0.001442253765212799,0.0,0.0017663929021895849
1987-08-06,,,,,,0.015607437488097266,0.01560648705368376,,,,,0.002359993402278967,0.0,0.002865222904115083
1987-08-07,,,,,,0.00385795725064833,0.00385795725064833,,,,,0.0005861050886725364,0.0,0.0
1987-08-10,,,,,,0.02125621819411983,0.02125621819411983,,,,,0.0032035074864730927,0.0,0.0
1987-08-11,,,,,,0.022314467357697595,0.022314467357697595,,,,,0.0033900772261052205,0.0,0.0
1987-08-12,,,,,,-0.003872351307799235,-0.003872351307799235,,,,,-0.0005814166223893489,0.0,0.0
1987-08-13,,,,,,0.009336642634362506,0.009336642634362506,,,,,0.001382444191049387,0.0,0.0
1987-08-14,,,,,,-0.00270825639568347,-0.00270825639568347,,,,,-0.0004034962733534801,0.0,0.0
